hour,demand
0,26.90999757242272
1,20.960895458133027
2,16.129734582795578
3,11.136583011583012
4,7.1666007307253725
5,6.616334605623389
6,11.374011280005503
7,19.717494300082468
8,26.52722343429158
9,29.35294608301081
10,31.66945817078457
11,34.14163390126693
12,37.11249847622033
13,38.40586889588386
14,40.50211556036963
15,42.713732775971515
16,45.15175692049585
17,50.818778651876165
18,54.898699733727234
19,50.30160168640044
20,47.5092523489676
21,49.150209962630505
22,44.384103265894886
23,34.47307762892274
