PULocationID,hour,demand
161,18,493.015015015015
161,17,480.8168168168168
237,15,433.978978978979
237,14,432.36036036036035
161,20,428.0
161,19,427.35135135135135
237,17,423.77477477477476
237,18,420.7567567567568
161,21,413.85585585585585
161,16,411.1861861861862
237,16,405.4114114114114
236,15,404.5615615615616
132,16,388.966966966967
237,13,385.7807807807808
230,21,383.5945945945946
237,12,374.12312312312315
230,22,374.07507507507506
161,15,370.36336336336336
236,17,366.97297297297297
236,14,360.76576576576576
236,18,359.4384384384384
132,17,359.05405405405406
132,20,358.4114114114114
162,18,356.5825825825826
236,12,355.66366366366367
161,14,351.9219219219219
236,16,350.4144144144144
132,15,350.0450450450451
132,19,348.63663663663664
237,19,341.1261261261261
236,13,339.61561561561564
132,22,339.5508982035928
132,21,337.2042042042042
161,22,334.4804804804805
162,17,334.0450450450451
237,11,328.2852852852853
132,18,326.56756756756755
236,11,320.65165165165166
161,13,319.8078078078078
132,23,308.65269461077844
132,14,307.24924924924926
237,21,307.036036036036
237,20,305.6876876876877
142,21,301.93993993993996
236,10,299.52552552552555
162,19,298.21321321321324
236,9,298.06306306306305
161,12,291.63663663663664
236,8,290.97297297297297
142,22,287.0658682634731
237,10,286.2762762762763
163,18,279.94894894894895
162,20,279.2852852852853
79,0,278.8258258258258
79,23,276.14714714714717
230,18,275.38438438438436
230,17,270.24924924924926
230,20,268.8138138138138
79,22,268.54654654654655
138,14,266.8258258258258
236,19,262.14414414414415
234,21,261.3183183183183
249,22,261.02702702702703
161,11,259.76576576576576
162,16,259.1291291291291
142,18,259.04804804804803
234,18,258.990990990991
48,22,258.55555555555554
170,18,258.0690690690691
249,23,257.5329341317365
163,17,255.48648648648648
79,1,255.32732732732734
237,9,255.12312312312312
186,18,251.27627627627626
186,17,250.5165165165165
234,20,246.1021021021021
234,19,245.53753753753753
162,21,243.33933933933935
138,15,243.2072072072072
68,18,242.68768768768768
186,13,242.45945945945945
234,22,240.48648648648648
170,17,240.16516516516518
170,19,238.58858858858858
230,16,238.2972972972973
234,17,237.24624624624624
230,19,236.8048048048048
186,19,236.24624624624624
249,21,236.0870870870871
142,17,235.34834834834834
48,21,234.006006006006
186,21,233.80180180180182
162,15,232.88888888888889
132,0,232.5105105105105
230,23,232.4894894894895
79,21,231.95795795795794
163,19,231.27327327327328
237,22,228.43843843843842
138,16,227.24624624624624
162,14,227.17717717717719
